Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
BG77YI4H,journalArticle,2022,"Jaiswal, Aparajita; Magana, Alejandra J.; Ward, Mark D.",Characterizing the Identity Formation and Sense of Belonging of the Students Enrolled in a Data Science Learning Community,Education Sciences,,,10.3390/educsci12100731,,"Student attrition is a challenge experienced by higher education institutions. One of the key reasons for student attrition is the inability of students to develop an identity and a sense of belonging. This study aims to understand the role of a data science learning community in helping students to develop identity and a sense of belonging. The study used a mixed-methods approach to collect and analyze the data. The study used a pre–post survey to understand students’ perceptions regarding identity formation and sense of belonging. The results of the survey study indicated that the perception of identity formation and sense of belonging increased as students progressed through the semester. To further investigate the reasons for the increase in the perception of identity formation and sense of belonging, in-depth semi-structured interviews were conducted. The results of the interview revealed that living in the data science learning community, participating in various events and interacting with faculty, staff and working with peers of similar interest helped students to develop a data science identity and leader identity, as well as experience sense of belonging.",2022,4/17/25 8:31,4/17/25 8:31,,731,,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJZL2P4Q,journalArticle,2021,"Kwapisz, Monika; Hughes, Bryce E.; Schell, William J.; Ward, Eric; Sybesma, Tessa",“We’ve Always Been Engineers:” Indigenous Student Voices on Engineering and Leadership Identities,Education Sciences,,,10.3390/educsci11110675,,"Background: How do Indigenous engineering students describe their engineering leadership development? The field of engineering has made only slow and modest progress at increasing the participation of Indigenous people; an identity-conscious focus on leadership in engineering may help connect the practice of engineering with Indigenous students’ motivations and values. Methods: This study utilized a grounded theory qualitative approach to understand how Indigenous engineering students at a U.S.-based university experience engineering leadership. We explored the experiences of four Indigenous engineering students through one interview and one focus group. Results: Students pointed out how Indigenous peoples had long engaged in engineering work before contact with European settlers, and they saw an opportunity for leadership in applying their engineering knowledge in ways that uplifted their home communities. Conclusion: In addition to ways that engineering programs can better support Indigenous students who aspire to become practicing engineers, our study pointed to new directions engineering programs could take to frame engineering work as providing a toolkit to improve one’s community to leverage a wider set of motivations for entering engineering among many different communities underrepresented in engineering, including Indigenous students.",2021,4/17/25 8:31,4/17/25 8:31,,675,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PWRGPQXS,journalArticle,2018,"Parker, Polly; Hewitt, Belinda; Witheriff, Jennifer; Cooper, Amy",Frank and Fearless: Supporting Academic Career Progression for Women in an Australian Program,Administrative Sciences,,,10.3390/admsci8010005,,"The underrepresentation of women in senior positions continues to be a major challenge in higher education and most other industries. In Australia, the career trajectory for academic women stalls at a lower level than that of their male counterparts. Concern about this situation in one Australian university led to the design and delivery of a career progression program to support women’s advancement from senior lecturer to associate professor. This study details the main features of the program, designed to facilitate women’s transition from being leading academics to academic leaders through a focus on leadership and career progression. We report the participants’ perceptions of its value based on survey data. We conclude that leadership development is difficult work and requires a supportive environment where risk-taking is encouraged, where frank and fearless feedback is provided, and where the individual is required to examine assumptions and biases and to assume a leadership identity.",2018,4/17/25 8:31,4/17/25 8:31,,5,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XJ2I4JNQ,journalArticle,2017,"Zhao, Jiayi; Jones, Karen",Women and Leadership in Higher Education in China: Discourse and the Discursive Construction of Identity,Administrative Sciences,,,10.3390/admsci7030021,,"Prior research indicates that just 4.5 percent of mainland China’s higher educational institution leaders are female. This article extends theory and research by drawing attention to identity and Discourse as an important, yet under-researched, aspect of the problem of women’s underrepresentation in higher education leadership. Drawing on in-depth qualitative interviews with nine female academics in Chinese universities and informed by discursive approaches to identity and constructionist views, we analyze how women construct multiple identities, the interplay of identities, and the influence of broader societal Discourses of gender and leadership. The findings highlight the interplay between competing multiple identities, and illustrate how the women’s identities are shaped and constrained by dominant historical and cultural Discourses in Chinese society, which results in identity regulation (Alvesson and Billing 2009), notably identity positioning that is congruent with social norms and conventions. A key finding is that the female academics reject the leader identity. This is true for those in middle management positions, as well as women in early career stages, who might otherwise aspire to leadership. Implications for the leadership pipeline in China’s universities is discussed and recommendations are made for future research directions.",2017,4/17/25 8:31,4/17/25 8:31,,21,,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE2T5DQ6,journalArticle,2024,"Felix, Bruno; Brandão, Mariana Clementino; Mahadevan, Jasmin; Schmitz, Anja; Vaz, Samir Lótfi; Irigaray, Hélio Arthur Reis",Strangers in a strange land: how diversity professionals navigate their marginal leadership identity,Frontiers in Psychology,,,10.3389/fpsyg.2024.1484472,,"The purpose of the present study was to understand how executives responsible for Diversity and Inclusion construct their identities while occupying positions of “Marginal Leadership,” and how they deal with threats to such identities. We conducted qualitative and inductive research with Brazilian executives in 66 organizations, focusing on their experiences as leaders. In our resulting model, we theorized that leaders in positions of Marginal Leadership demonstrate little role clarity, resources, and confidence for the exercise of their activities, suffering threats to their identities, which are not observed in executives occupying positions in more traditional functions such as Finance, Production, and Marketing. Furthermore, we identified that Brazilian executives responsible for Diversity and Inclusion build three types of Relational Leadership in interaction with individuals in historically disadvantaged positions, and alongside executives in traditional positions. First, “Business Partner,” focusing on performance—boundary segmentation. Second, “Injustice Repairer,” focusing on inclusion—boundary segmentation. Third, “Paradox Manager,” focusing on performance and inclusion—boundary integration. Finally, we found that threats to their identities vary according to the type of Marginal Leadership constructed. While “Business Partners” and “Injustice Repairers” tend to be seen as false representatives or politically inept, the “Paradox Manager” tends to be labeled as a “Fence Sitter.” This study advances the understanding of role identities in positions with ambiguous expectations, integrating Identity Theory and Boundary Theory to explore how diversity leaders integrate their identities in the light of conflicting demands.",2024,4/17/25 8:31,4/17/25 8:31,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADKNSIQ2,journalArticle,2024,"Seyama-Mokhaneli, Sadi; Belang, Thato",Decolonial identities in the leadership coaching space: against neoliberal leader identity regulation,Frontiers in Psychology,,,10.3389/fpsyg.2024.1380610,,"The study uses the decolonial lens to disrupt the contentious dominance of whiteness in leadership development, not to mention in coaching, in management and organization studies (MOS). It contributes insights into how a decolonizing coaching space enables and guides a coachee to reflect and rethink the navigation of the realities of her decolonial identity. The decolonial identity encapsulates the authentic self and the neoliberal identity is the plastic self in a neoliberal university context. Universities' pervasive and normalized neoliberal discourse has become a “paradigm”—the overarching worldview through which universities' visions, missions, strategic objectives, and values are constructed. For academics to thrive in their performance and “walk on water” in achieving performance targets, they ought to embrace being academic capitalists, which shapes idealized neoliberal identities—conforming identities, complicit in undermining social, economic, and epistemic justice. Qualitative research methods were utilized to conduct a reflexive study, and data collected from the reflections and reflexive dialogues in leadership development coaching sessions and journals were thematically analyzed. The study reveals that the coach and coachee's shared decolonial identity offered counter-narratives that unmask the dominant great “white” man leadership in organizations. It also illuminates insights into the significance of black feminist pedagogy in the coaching process to honor the coachee's decolonial identity and rich cultural experiences. It enabled her to explore them critically and derive meanings from developing decolonizing, critically conscious leadership strategies for emerging transformation challenges. Meaningful dialogue dimensions emerged, which served as lenses that steered a decolonial approach in supporting the coachee to reflect and rethink the leadership performance vision, strategic objectives, action plans, implementation, and monitoring.",2024,4/17/25 8:31,4/17/25 8:31,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVW5QBAY,journalArticle,2024,"Proches, Cecile Gerwel; Daya, Preeya; Strayer, Jessica; Leask, Cristy; Mngadi, Ntokozo; de Lange, Christa; Gunnlaugson, Olen",Exploring the role of Dynamic Presencing in a group coaching training context for fostering transformative leadership development in disruptive times,Frontiers in Psychology,,,10.3389/fpsyg.2024.1352828,,"With the growing array of challenges humanity has been experiencing since the global pandemic, knowledge workers at all levels of organizations are experiencing a noted increase in the volatility, uncertainty, complexity, and ambiguity (VUCA) conditions of their work and lives. This has brought about significant changes in ways of working and associated ways of being that have become more fragmented and virtual. Disruptive change continues to unfold on many levels of society, from the organizational to the individual level, with multiple and often unintended consequences. This article outlines how the body of work of Dynamic Presencing in a group coaching context facilitates responsive forms of personal development as well as a deeper transformation of one’s leadership identity in the face of such change, which in turn serves as an approach that can be useful in navigating VUCA conditions that are becoming increasingly prevalent. The transformative process of Dynamic Presencing develops core inner leadership capabilities with a noted increase in the quality of internal and interpersonal forms of self-,presence-, and presencing-awareness. Overall, Dynamic Presencing serves as a critical enabler of presencing mastery, which instills deeper confidence and resourcefulness in working with the VUCA conditions of our global world by deepening our presencing process and refining our methods for inner leadership development in turbulent times.",2024,4/17/25 8:31,4/17/25 8:31,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5RSFWJBR,journalArticle,2023,"Su, Xiaoyan; Wang, Haipeng; Zhu, Yuyu",The cross-level influence of ethical leadership on employee’s OCBE: a two-wave study based on the social identity approach,Frontiers in Psychology,,,10.3389/fpsyg.2023.1270359,,"The importance of organizational citizenship behavior for the environment (OCBE) has received increasing attention in recent years because organizations face increasing pressure from environmental deterioration. The purpose of this study is to use social identity theory to construct a cross-level theoretical model of ethical leadership on OCBE, and to explore the cross-level influential mechanisms of ethical leadership on OCBE. Data collection was conducted via a two-wave distribution of leader-employee paired questionnaires in 20 manufacturing companies in China. In the first wave, data about OCBE and team environmental atmosphere were collected from leaders. Subsequently, 2 months later, we conducted the second wave of data collection when data about ethical leadership and leader identity were obtained from their employees. The results showed that at the individual level, ethical leadership has a significant positive impact on employees’ OCBE, and such relationship is partially mediated by employees’ leader identity and positively moderated by team environmental atmosphere across levels. At the team level, ethical leadership has a significant positive impact on employees’ OCBE, and such relationship is completely mediated by team environmental atmosphere. This study investigates the cross-level influential mechanism of ethical leadership on OCBE in China and provides theoretical guidance for enterprises to promote OCBE effectively.",2023,4/17/25 8:31,4/17/25 8:31,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PXUIQ2R4,journalArticle,2023,"Wu, Lei; Long, Anna; Hu, Chenbang; Xu, Yunpeng",An identity threat perspective on why and when employee voice brings abusive supervision,Frontiers in Psychology,,,10.3389/fpsyg.2023.1133480,,"PurposeDrawing from identity threat theory, this study aims to understand how and when employee voice can lead to abusive supervision. It proposes and examines a theoretical model in which employee voice is linked to abusive supervision through the mediating effect of leader identity threat.MethodsWe conducted a field study by collecting data from 93 supervisors and 533 subordinates in China at two different points in time. A structural equation model and Mplus software were used to examine the direct relationship between employee voice and abusive supervision, as well as the mediating effect of leader identity threat and the moderating effect of supervisor traditionality.ResultsOur results showed that employee voice was positively related to leader identity threat and had an indirect effect on abusive supervision via leader identity threat. In addition, we found that supervisor traditionality moderated the relationship between employee voice and leader identity threat. Subordinates’ voice increased perceptions of leader identity threat among supervisors with high traditionality, whereas supervisors with low traditionality did not make this association. Finally, the indirect effect of employee voice on abusive supervision via leader identity threat was moderated by supervisor traditionality.DiscussionFirst, this study broadens our understanding of the antecedents of abusive supervision by proposing that employee voice may induce abusive supervision. Second, it develops an identity threat perspective to explain why employee voice is positively related to abusive supervision. Finally, it enriches the research on implicit leadership theories by proposing that supervisors’ cultural values can also influence supervisors’ sense-making of subordinates’ behaviors.",2023,4/17/25 8:31,4/17/25 8:31,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9VNJVUFN,journalArticle,2022,"Meadows, Stephanie; De Braine, Roslyn",The work identity of leaders in the midst of the COVID-19 pandemic,Frontiers in Psychology,,,10.3389/fpsyg.2022.958679,,"The world of work is being changed at an unprecedented rate as a result of the rise of the Fourth Industrial Revolution. This rate of change was accelerated by the COVID-19 pandemic, which left organizations and their leadership to deal with myriad of challenges. These changes also impacted leaders’ identities in their work and their roles in their organizations. We examine how leaders responded to the various workplace challenges presented by the COVID-19 pandemic and what this meant for their work identities as leaders. To do this, we made use of role identity theory, social identity theory, and leader identity. A qualitative study was conducted with a group of eight senior leaders from various South African and global organizations who had between five and 10 years’ work experience, and some had even more. Data were collected through semi-structured interviews, conducted virtually and in person. Thematic analysis was used to analyze the data. The main finding that emerged from the research was that leaders employed virtual leadership to ensure that customers’ expectations were met, and to manage team-and organizational performance. These leaders achieved this by fostering a digital culture and building effective teams. They achieved their leadership goals by ensuring social identity continuity amongst their teams. This required them taking on extra roles, such as strategist, technology expert, entrepreneur, coach, mentor, and member of the team. Their leader role identity, as part of their work identity, was amplified by the pandemic. The implication is that organizations should develop leadership development programs to increase and strengthen leader identities to capacitate them for times of crisis.",2022,4/17/25 8:31,4/17/25 8:31,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G7DMDBW9,journalArticle,2022,"Gao, Yuan; Cui, Yaqiong",Agency as power: An ecological exploration of an emerging language teacher leaders’ emotional changes in an educational reform,Frontiers in Psychology,,,10.3389/fpsyg.2022.958260,,"Teacher emotion, an important aspect of language teacher psychology (LTP), has recently drawn growing attention in language teacher development studies. Previous research has shown that language teachers, typically pressured by heavy workloads, may face emotional challenges from multiplied sources, especially in the context of educational changes such as curriculum reform and the COVID-19 emergency. Current literature on teachers’ emotions largely centers around ordinary language teachers, with teacher leaders whose agentic actions often exert greater influence on the effectiveness of educational changes rarely examined. Situated in a top-tier research university that has been promoting an English for Academic Purposes reform to enhance its science students’ multilingual competence in academic contexts, this longitudinal case study tracked the emotional trajectory of an English teacher, Lea, for 5 years. Adopting an ecological perspective, our study confirms that language teachers’ emotions vary across the reform ecosystems and extends the current inquiry by conceptualizing the intricately interrelated teacher emotion, agency, power, and identity as dynamic constructs. This study also reveals how the reform-inflected emotional changes were associated with Lea’s EAP teacher and teacher leader identity construction, with both identities reinforcing each other, which to some extent reconciled Lea’s emotional tensions. Our study bears significant implications for language teachers involved in educational reform, teacher leaders, and school administrators.",2022,4/17/25 8:31,4/17/25 8:31,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVB3L6C6,journalArticle,2022,"Wang, Xinyu; Chen, Junyuan; Yue, Wei; Zhang, Yishi; Xu, Fenghua","Curriculum Leadership of Rural Teachers: Status Quo, Influencing Factors and Improvement Mechanism-Based on a Large-Scale Survey of Rural Teachers in China",Frontiers in Psychology,,,10.3389/fpsyg.2022.813782,,"Revealing the general status quo of teacher curriculum leadership has great theoretical, policy, and practical significance. However, large-scale empirical investigations in this area are rare, and there is even less attention to the current situation of rural teacher curriculum leadership. Based on the survey of 2,966 rural teachers in 20 provinces of China, this paper presented the status quo of rural teacher curriculum leadership and examined influencing factors through multiple linear regression analysis. It was found that curriculum leadership of rural teachers was at a low level with backward leadership views, lack of practical ability, and low sense of identity. Regression analysis demonstrated that individual field factors had a significant impact on teachers’ curriculum leadership. Specifically, the higher the teachers’ leadership willingness, trust in others, and self-efficacy, the higher the curriculum leadership. The school field was also an important influential aspect. In particular, the formation of a common vision and teacher community by the school and the appropriate empowerment of the principal had a significant positive impact on the curriculum leadership of rural teachers. Based on these key findings, several improvement suggestions are put forward at the end, which can be used as references for other countries to develop improvement plans on rural teacher curriculum leadership.",2022,4/17/25 8:31,4/17/25 8:31,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
